# Filename: 164746_polarimeter_vs_wheel.dat
# Timestamp: Wed May 22 16:47:46 2019

# Column 1:
#	name: measurement point
#	size: 0
#	type: coordinate
# Column 2:
#	name: angle
#	type: value
# Column 3:
#	name: S1
#	type: value
# Column 4:
#	name: S2
#	type: value
# Column 5:
#	name: S3
#	type: value
# Column 6:
#	name: DOP
#	type: value
# Column 7:
#	name: power
#	type: value

0	0.000000000000e+00	9.997776511434e-01	-1.984684504699e-02	7.123974719022e-03	9.472774505615e+01	1.097005952033e-05
4	4.000000000000e+00	9.998347306560e-01	-1.721310206522e-02	5.849828315103e-03	9.469173431396e+01	1.139427513408e-05
8	8.000000000000e+00	9.998816030810e-01	-1.437742676762e-02	5.483559042254e-03	9.472782897949e+01	1.195677850774e-05
12	1.200000000000e+01	9.998950362898e-01	-1.391218303972e-02	4.045684880644e-03	9.491710662842e+01	1.221681213792e-05
16	1.600000000000e+01	9.999077427949e-01	-1.327321900190e-02	2.885750538608e-03	9.495378112793e+01	1.235841227754e-05
20	2.000000000000e+01	9.999124210872e-01	-1.305057910554e-02	2.198304031088e-03	9.479856872559e+01	1.228694418387e-05
24	2.400000000000e+01	9.999391130716e-01	-1.088018536759e-02	1.841661197399e-03	9.469509124756e+01	1.213560426550e-05
28	2.800000000000e+01	9.999464101282e-01	-1.012598455153e-02	2.154369649344e-03	9.472335815430e+01	1.173182954517e-05
32	3.200000000000e+01	9.999639198369e-01	-8.488143610383e-03	3.323288182996e-04	9.491532897949e+01	1.138007701229e-05
36	3.600000000000e+01	9.999662593392e-01	-8.212660980616e-03	-1.799523166064e-04	9.488563537598e+01	1.095046991395e-05
40	4.000000000000e+01	9.999735212607e-01	-7.272127676469e-03	-2.700674990649e-04	9.476293182373e+01	1.048852391250e-05
44	4.400000000000e+01	9.999928410564e-01	-3.781615723774e-03	1.312188424308e-04	9.456700134277e+01	9.986325494538e-06
48	4.800000000000e+01	9.999894148719e-01	-4.599145913939e-03	-1.341675244674e-04	9.457484436035e+01	9.444072929909e-06
52	5.200000000000e+01	9.999925078301e-01	-3.822265143924e-03	-6.120236386539e-04	9.456665039062e+01	8.879839697329e-06
56	5.600000000000e+01	9.999895328686e-01	-4.027413897697e-03	-2.171195638609e-03	9.463284301758e+01	8.270450962300e-06
60	6.000000000000e+01	9.999993538506e-01	-8.419233786446e-04	-7.638477765733e-04	9.434802246094e+01	7.649870894966e-06
64	6.400000000000e+01	9.999976453239e-01	-5.657276606799e-05	-2.169365369856e-03	9.439962005615e+01	7.019769327599e-06
68	6.800000000000e+01	9.999996064957e-01	8.861340316207e-04	-4.212925299876e-05	9.455224609375e+01	6.366366505972e-06
72	7.200000000000e+01	9.999906480135e-01	3.275903810101e-03	-2.823533211305e-03	9.452764892578e+01	5.701543614123e-06
76	7.600000000000e+01	9.999827784711e-01	5.031473858577e-03	-3.021097828525e-03	9.443525695801e+01	5.024395704822e-06
80	8.000000000000e+01	9.999703623366e-01	7.351006891909e-03	-2.288481195432e-03	9.431786346436e+01	4.370424903755e-06
84	8.400000000000e+01	9.999273723985e-01	1.194511929519e-02	-1.601266142901e-03	9.453643035889e+01	3.466170028332e-06
88	8.800000000000e+01	9.999029667920e-01	1.376682734566e-02	-2.128723908983e-03	9.434305572510e+01	2.829078084687e-06
92	9.200000000000e+01	9.998173719789e-01	1.890401423169e-02	-2.803735911886e-03	9.436947631836e+01	2.222629973403e-06
96	9.600000000000e+01	9.986588087348e-01	5.161074764417e-02	-4.112719780591e-03	9.278024291992e+01	1.703907855699e-06
100	1.000000000000e+02	9.981412888475e-01	6.075854632049e-02	-4.729328383673e-03	9.268177032471e+01	1.201127247441e-06
104	1.040000000000e+02	9.974584245354e-01	7.100192191140e-02	-5.951336677930e-03	9.304764556885e+01	7.769945682412e-07
108	1.080000000000e+02	9.959202545207e-01	9.014273622361e-02	-4.139292388505e-03	9.306848907471e+01	4.388821253087e-07
112	1.120000000000e+02	9.925070257556e-01	1.219851947635e-01	7.029657485836e-03	9.300445556641e+01	2.008374764273e-07
116	1.160000000000e+02	9.885232483427e-01	1.351326399576e-01	6.753485843676e-02	9.173750305176e+01	7.774391974635e-08
120	1.200000000000e+02	9.908986022200e-01	-3.471907249186e-02	1.300559345962e-01	9.063710021973e+01	7.520189626575e-08
124	1.240000000000e+02	9.944639943134e-01	-7.098204687694e-02	7.747846820511e-02	9.179245758057e+01	1.992519571559e-07
128	1.280000000000e+02	9.975010859974e-01	-5.258184365438e-02	4.718827345861e-02	9.209314727783e+01	4.558436899060e-07
132	1.320000000000e+02	9.987595457938e-01	-3.707852374302e-02	3.323481251223e-02	9.230245971680e+01	8.364612540390e-07
136	1.360000000000e+02	9.993144233582e-01	-2.693000821877e-02	2.540586399914e-02	9.252256011963e+01	1.329209908363e-06
140	1.400000000000e+02	9.996620346315e-01	-1.813719543171e-02	1.862414181267e-02	9.259897613525e+01	1.932380200742e-06
144	1.440000000000e+02	9.990286091275e-01	-4.139407015953e-02	1.511188606632e-02	9.429579925537e+01	2.576508904895e-06
148	1.480000000000e+02	9.992347514881e-01	-3.586749425543e-02	1.560238040389e-02	9.432982635498e+01	3.344187916809e-06
152	1.520000000000e+02	9.994179860541e-01	-3.205957373207e-02	1.165645244641e-02	9.427392578125e+01	4.156708200753e-06
156	1.560000000000e+02	9.994595745170e-01	-3.058611417231e-02	1.204360934942e-02	9.425693511963e+01	4.989841727365e-06
160	1.600000000000e+02	9.995584433519e-01	-2.769641807799e-02	1.076228366202e-02	9.423087310791e+01	5.820954811497e-06
