# Filename: 095902_polarimeter_vs_wheel.dat
# Timestamp: Tue May 21 09:59:02 2019

# Column 1:
#	name: measurement point
#	size: 0
#	type: coordinate
# Column 2:
#	name: angle
#	type: value
# Column 3:
#	name: S1
#	type: value
# Column 4:
#	name: S2
#	type: value
# Column 5:
#	name: S3
#	type: value
# Column 6:
#	name: DOP
#	type: value
# Column 7:
#	name: power
#	type: value

0	0.000000000000e+00	9.996391456064e-01	2.609862668235e-02	6.359265409040e-03	1.027115554810e+02	9.104655873671e-06
1	1.000000000000e+00	9.996092843442e-01	2.714865299478e-02	6.650510761159e-03	1.028733139038e+02	9.026044608618e-06
2	2.000000000000e+00	9.996321006778e-01	2.640598066853e-02	6.195763023538e-03	1.029007720947e+02	8.916071237763e-06
3	3.000000000000e+00	9.996238368046e-01	2.640814750035e-02	7.402340010042e-03	1.028930511475e+02	8.816386070976e-06
4	4.000000000000e+00	9.996614253290e-01	2.519364205261e-02	6.505006485388e-03	1.031403732300e+02	8.704982064955e-06
5	5.000000000000e+00	9.996594728651e-01	2.521899191449e-02	6.703786839290e-03	1.032651748657e+02	8.592157428211e-06
6	6.000000000000e+00	9.996296232311e-01	2.647818140322e-02	6.286673874254e-03	1.030895385742e+02	8.477330084133e-06
7	7.000000000000e+00	9.996403958201e-01	2.611141747616e-02	6.105155362626e-03	1.030288238525e+02	8.353694283869e-06
8	8.000000000000e+00	9.996376299818e-01	2.659776265707e-02	4.143397886596e-03	1.031371459961e+02	8.243744559877e-06
9	9.000000000000e+00	9.995877340172e-01	2.829765453258e-02	4.858472007268e-03	1.029858474731e+02	8.121072823997e-06
10	1.000000000000e+01	9.995545242486e-01	2.949106248053e-02	4.585879183765e-03	1.029517593384e+02	7.988085599209e-06
11	1.100000000000e+01	9.996173253049e-01	2.738057926761e-02	3.937871147939e-03	1.031455917358e+02	7.846540938772e-06
12	1.200000000000e+01	9.995408338812e-01	2.998057854523e-02	4.391618623954e-03	1.029708557129e+02	7.712835213169e-06
13	1.300000000000e+01	9.995162106587e-01	3.085033322433e-02	3.949882327161e-03	1.028722915649e+02	7.569576609967e-06
14	1.400000000000e+01	9.995637373734e-01	2.924768430686e-02	4.111920578947e-03	1.030796356201e+02	7.413193998218e-06
15	1.500000000000e+01	9.995708439813e-01	2.916095311804e-02	2.786875619329e-03	1.030798416138e+02	7.257732249855e-06
